Exporter,Importer,Importer.Exporter Combination,2019_10,2019_11,2019_12,Total
India,Spain,Spain_India,0.00021250000000000002,9.584166666666665e-05,8.64625e-05,0.00039480416666666664
Italy,Spain,Spain_Italy,0,0.000252,0.00010800000000000001,0.00036
Montenegro,Spain,Spain_Montenegro,0,1.9999999999999997e-09,0.0,1.9999999999999997e-09
Netherlands,Spain,Spain_Netherlands,2e-06,1e-06,6.333333333333333e-06,9.333333333333334e-06
Poland,Spain,Spain_Poland,0,0,2.5e-07,2.5e-07
Suriname,Spain,Spain_Suriname,0,0,0.0,0.0
Turkey,Spain,Spain_Turkey,0,0.00537,0.004211015416666667,0.009581015416666666
United Kingdom,Spain,Spain_United Kingdom,1e-06,0,0.0,1e-06
United States,Spain,Spain_United States,1.8500000000000002e-05,3.6e-05,6.166666666666667e-06,6.066666666666667e-05
India,Sri Lanka,Sri Lanka_India,0,6.25e-06,6.25e-06,1.25e-05
India,Sudan,Sudan_India,0,1.6666666666666669e-06,1.6666666666666669e-06,3.3333333333333337e-06
Germany,Sweden,Sweden_Germany,2.5e-05,5.683333333333333e-05,5.683333333333333e-05,0.00013866666666666666
India,Sweden,Sweden_India,0,0,0,0.0
France,Switzerland,Switzerland_France,0.000518,0.000754,0.0008430833333333334,0.0021150833333333334
Germany,Switzerland,Switzerland_Germany,0,1.025e-05,1.025e-05,2.05e-05
Spain,Switzerland,Switzerland_Spain,0,0,0,0.0
China,Taiwan,Taiwan_China,0,0,0,0.0
Germany,Taiwan,Taiwan_Germany,0,4.5916666666666674e-05,4.5916666666666674e-05,9.183333333333335e-05
India,Taiwan,Taiwan_India,0,1.0416666666666666e-05,1.0416666666666666e-05,2.0833333333333333e-05
United States,Taiwan,Taiwan_United States,0,0,0,0.0
India,Tanzania,Tanzania_India,0,5e-08,5e-08,1e-07
China,Thailand,Thailand_China,0,0,0,0.0
India,Thailand,Thailand_India,0,8.333333333333332e-06,8.333333333333332e-06,1.6666666666666664e-05
Brazil,Turkey,Turkey_Brazil,0,0,6.250083333333333e-06,6.250083333333333e-06
China,Turkey,Turkey_China,0.0020225,0.002026,0.0026009045000000004,0.006649404500000001
Germany,Turkey,Turkey_Germany,0,0,7.250000000000001e-08,7.250000000000001e-08
Guyana,Turkey,Turkey_Guyana,0,0,0.000211925,0.000211925
India,Turkey,Turkey_India,4.8e-05,5.199999999999999e-05,3.299999999999999e-05,0.00013299999999999998
Montenegro,Turkey,Turkey_Montenegro,0,5e-09,0.0,5e-09
Netherlands,Turkey,Turkey_Netherlands,2.1941e-05,0,6.266666666666666e-06,2.8207666666666664e-05
Singapore,Turkey,Turkey_Singapore,0,0,2.25e-05,2.25e-05
Spain,Turkey,Turkey_Spain,0,1.2005000000000001e-05,0.0,1.2005000000000001e-05
United States,Turkey,Turkey_United States,0,1.1113e-05,0.0,1.1113e-05
Brazil,Ukraine,Ukraine_Brazil,0,0,0.007080916666666666,0.007080916666666666
China,Ukraine,Ukraine_China,0.00032375,9.0586e-05,0.00017676083333333334,0.0005910968333333333
France,Ukraine,Ukraine_France,0,0,8.333333333333334e-07,8.333333333333334e-07
Germany,Ukraine,Ukraine_Germany,0,1.675e-05,1.675e-05,3.35e-05
Ghana,Ukraine,Ukraine_Ghana,0.02576168541666667,5.152e-05,0.0016871025,0.027500307916666668
Greece,Ukraine,Ukraine_Greece,0.00315,0.00635,0.00215775,0.01165775
Guinea,Ukraine,Ukraine_Guinea,0.20220344,0.372122,0.3034275809166666,0.8777530209166666
Guyana,Ukraine,Ukraine_Guyana,0.129131,0.134881,0.10811828999999999,0.37213029000000003
Italy,Ukraine,Ukraine_Italy,0,0,1.7083333333333332e-07,1.7083333333333332e-07
Netherlands,Ukraine,Ukraine_Netherlands,2e-06,0,2.5e-07,2.25e-06
Russia,Ukraine,Ukraine_Russia,3.7e-06,6e-06,4e-06,1.3700000000000001e-05
Turkey,Ukraine,Ukraine_Turkey,0.004450000000000001,0.002975,0.0021520833333333335,0.009577083333333335
Australia,United Arab Emirates,United Arab Emirates_Australia,0,0.069233,0.006625,0.07585800000000001
Brazil,United Arab Emirates,United Arab Emirates_Brazil,0,0,0,0.0
Germany,United Arab Emirates,United Arab Emirates_Germany,0,6.666666666666666e-07,6.666666666666666e-07,1.3333333333333332e-06
India,United Arab Emirates,United Arab Emirates_India,2e-08,7.916666666666667e-08,7.916666666666667e-08,1.7833333333333333e-07
Australia,United Kingdom,United Kingdom_Australia,0,2e-06,0,2e-06
Brazil,United Kingdom,United Kingdom_Brazil,2.6e-05,0,2.5e-05,5.1e-05
France,United Kingdom,United Kingdom_France,2.4e-05,1.4e-05,1.1333333333333334e-05,4.933333333333334e-05
Germany,United Kingdom,United Kingdom_Germany,0,3.641666666666667e-05,3.641666666666667e-05,7.283333333333335e-05
Greece,United Kingdom,United Kingdom_Greece,0.002005,0,0.0002933333333333333,0.0022983333333333332
India,United Kingdom,United Kingdom_India,0,0.0002854166666666666,0.0002854166666666666,0.0005708333333333332
Spain,United Kingdom,United Kingdom_Spain,0,0,8.333333333333333e-08,8.333333333333333e-08
Turkey,United Kingdom,United Kingdom_Turkey,0,0,0.0016083559166666667,0.0016083559166666667
United States,United Kingdom,United Kingdom_United States,0,4.3e-05,0,4.3e-05
Australia,United States,United States_Australia,0.04908,0.03,0.021917916666666665,0.10099791666666666
Brazil,United States,United States_Brazil,0.08292685,0.055429616,0.10954439299999999,0.247900859
Canada,United States,United States_Canada,0.004433749999999999,0.004433749999999999,0.004433749999999999,0.013301249999999997
China,United States,United States_China,0.001233,0.002487,0.007195689999999999,0.010915689999999999
Ghana,United States,United States_Ghana,8.75e-09,0,8.75e-09,1.75e-08
Guinea,United States,United States_Guinea,0,0,0,0.0
Guyana,United States,United States_Guyana,0.009397,0.017308999999999998,0.017847,0.044552999999999995
India,United States,United States_India,0,2.1000000000000006e-05,2.1000000000000006e-05,4.200000000000001e-05
Jamaica,United States,United States_Jamaica,0.320601,0.356023,0.241408,0.918032
Netherlands,United States,United States_Netherlands,5.9000000000000004e-05,0,3.6e-05,9.5e-05
Spain,United States,United States_Spain,0,0,7.5e-07,7.5e-07
Turkey,United States,United States_Turkey,0,0.0177795,0.014839587083333335,0.03261908708333333
United Kingdom,United States,United States_United Kingdom,4e-06,0,4e-06,8e-06
Brazil,Uruguay,Uruguay_Brazil,0.00019109999999999998,0.00021940000000000002,0.0003276,0.0007381
Russia,Uzbekistan,Uzbekistan_Russia,0,0,8.333333333333333e-08,8.333333333333333e-08
United States,Venezuela,Venezuela_United States,0,0,0,0.0
China,Vietnam,Vietnam_China,0,0,1.6910000000000002e-05,1.6910000000000002e-05
India,Vietnam,Vietnam_India,0,6.041666666666666e-05,6.041666666666666e-05,0.00012083333333333332
United States,Vietnam,Vietnam_United States,0,0,0,0.0
